english	current_chinese	pos	suggested_class	risk_reason	note
Color Randomize	Color Randomize	parameter	context-ui-label	contains-common-prose-word	-
Color Scale	Color Scale	parameter	context-ui-label	contains-common-prose-word	-
Color Scale	Color Scale	parameter	context-ui-label	contains-common-prose-word	-
Color Swatch	Color Swatch	parameter	context-ui-label	contains-common-prose-word	-
Color Swatch	Color Swatch	parameter	context-ui-label	contains-common-prose-word	-
Color Temperature	Color Temperature	parameter	context-ui-label	contains-common-prose-word	-
Color Tile	Color Tile	parameter	context-ui-label	contains-common-prose-word	-
Color Tint	Color Tint	parameter	context-ui-label	contains-common-prose-word	-
Color TT	Color TT	parameter	context-ui-label	contains-common-prose-word	-
Combine Mode	Combine Mode	parameter	context-ui-label	contains-common-prose-word	-
Comp Mode	Comp Mode	parameter	context-ui-label	contains-common-prose-word	-
Continuation Ray Mode	Continuation Ray Mode	parameter	context-ui-label	contains-common-prose-word	-
Continuation Rays	Continuation Rays	parameter	context-ui-label	contains-common-prose-word	-
Cookie Mode	Cookie Mode	parameter	context-ui-label	contains-common-prose-word	-
Data AOV	Data AOV	parameter	context-ui-label	contains-common-prose-word	-
Data Type	Data Type	parameter	context-ui-label	contains-common-prose-word	-
Density Color	Density Color	parameter	context-ui-label	contains-common-prose-word	-
Density Far Value	Density Far Value	parameter	context-ui-label	contains-common-prose-word	-
Density Mid Value	Density Mid Value	parameter	context-ui-label	contains-common-prose-word	-
Density Near Value	Density Near Value	parameter	context-ui-label	contains-common-prose-word	-
Diffuse Color	Diffuse Color	parameter	context-ui-label	contains-common-prose-word	-
Diffuse Energy from	Diffuse Energy from	parameter	context-ui-label	contains-common-prose-word	-
Direct Gain Mode	Direct Gain Mode	parameter	context-ui-label	contains-common-prose-word	-
Displacement Type	Displacement Type	parameter	context-ui-label	contains-common-prose-word	-
Dye Color	Dye Color	parameter	context-ui-label	contains-common-prose-word	-
Edge color	Edge color	parameter	context-ui-label	mostly-lowercase-phrase;contains-common-prose-word	-
Edge Color	Edge Color	parameter	context-ui-label	contains-common-prose-word	-
Emit Color	Emit Color	parameter	context-ui-label	contains-common-prose-word	-
Enable Manifold Walk	Enable Manifold Walk	parameter	context-ui-label	contains-common-prose-word	-
Enable Ramp	Enable Ramp	parameter	context-ui-label	contains-common-prose-word	-
Enable Shadows	Enable Shadows	parameter	context-ui-label	contains-common-prose-word	-
Enable Temperature	Enable Temperature	parameter	context-ui-label	contains-common-prose-word	-
Enable X	Enable X	parameter	context-ui-label	contains-common-prose-word	-
Equiangular weight	Equiangular weight	parameter	context-ui-label	mostly-lowercase-phrase	-
Face Color	Face Color	parameter	context-ui-label	contains-common-prose-word	-
File Format	File Format	parameter	context-ui-label	contains-common-prose-word	-
File Type	File Type	parameter	context-ui-label	contains-common-prose-word	-
Fill Color	Fill Color	parameter	context-ui-label	contains-common-prose-word	-
Filter Scale	Filter Scale	parameter	context-ui-label	contains-common-prose-word	-
Filter Width	Filter Width	parameter	context-ui-label	contains-common-prose-word	-
Final Line Gamma	Final Line Gamma	parameter	context-ui-label	contains-common-prose-word	-
First Texture is White	First Texture is White	parameter	context-ui-label	contains-common-prose-word	-
Fractal Harmonic Mode	Fractal Harmonic Mode	parameter	context-ui-label	contains-common-prose-word	-
Fresnel Mode	Fresnel Mode	parameter	context-ui-label	contains-common-prose-word	-
Gamma Mode	Gamma Mode	parameter	context-ui-label	contains-common-prose-word	-
Grid Color	Grid Color	parameter	context-ui-label	contains-common-prose-word	-
Grid offset	Grid offset	parameter	context-ui-label	mostly-lowercase-phrase	-
Ground Color	Ground Color	parameter	context-ui-label	contains-common-prose-word	-
Ground Mode	Ground Mode	parameter	context-ui-label	contains-common-prose-word	-
Hair Color	Hair Color	parameter	context-ui-label	contains-common-prose-word	-
Hatch On Background	Hatch On Background	parameter	context-ui-label	contains-common-prose-word	-
Hatch On Color	Hatch On Color	parameter	context-ui-label	contains-common-prose-word	-
Hatch Tex Color Mix	Hatch Tex Color Mix	parameter	context-ui-label	contains-common-prose-word	-
Hatching On Color	Hatching On Color	parameter	context-ui-label	contains-common-prose-word	-
Hue Mode	Hue Mode	parameter	context-ui-label	contains-common-prose-word	-
In Primary Hit	In Primary Hit	parameter	context-ui-label	contains-common-prose-word	-
In Reflection	In Reflection	parameter	context-ui-label	contains-common-prose-word	-
In Refraction	In Refraction	parameter	context-ui-label	contains-common-prose-word	-
Index of Refraction	Index of Refraction	parameter	context-ui-label	contains-common-prose-word	-
Input Color	Input Color	parameter	context-ui-label	contains-common-prose-word	-
Input Color	Input Color	parameter	context-ui-label	contains-common-prose-word	-
Input Material	Input Material	parameter	context-ui-label	contains-common-prose-word	-
Input Texture Coordinates	Input Texture Coordinates	parameter	context-ui-label	contains-common-prose-word	-
invert T	invert T	parameter	context-ui-label	mostly-lowercase-phrase	-
Iridescence Mode	Iridescence Mode	parameter	context-ui-label	contains-common-prose-word	-
Is Orthographic	Is Orthographic	parameter	context-ui-label	contains-common-prose-word	-
Last Texture is Black	Last Texture is Black	parameter	context-ui-label	contains-common-prose-word	-
Layer Mode	Layer Mode	parameter	context-ui-label	contains-common-prose-word	-
Layer Thickness	Layer Thickness	parameter	context-ui-label	contains-common-prose-word	-
Layers A	Layers A	parameter	context-ui-label	contains-common-prose-word	-
Layers Mode	Layers Mode	parameter	context-ui-label	contains-common-prose-word	-
Layers RGB	Layers RGB	parameter	context-ui-label	contains-common-prose-word	-
Light Group	Light Group	parameter	context-ui-label	contains-common-prose-word	-
Light Mask Switch	Light Mask Switch	parameter	context-ui-label	contains-common-prose-word	-
Light Samples	Light Samples	parameter	context-ui-label	contains-common-prose-word	-
Light Source	Light Source	parameter	context-ui-label	contains-common-prose-word	-
Light Tint	Light Tint	parameter	context-ui-label	contains-common-prose-word	-
Line Albedo Color	Line Albedo Color	parameter	context-ui-label	contains-common-prose-word	-
Line Albedo HSV	Line Albedo HSV	parameter	context-ui-label	contains-common-prose-word	-
Line Color	Line Color	parameter	context-ui-label	contains-common-prose-word	-
Line Color Shadow	Line Color Shadow	parameter	context-ui-label	contains-common-prose-word	-
Line Mask	Line Mask	parameter	context-ui-label	contains-common-prose-word	-
Line Thickness	Line Thickness	parameter	context-ui-label	contains-common-prose-word	-
Line Thickness Remap Max	Line Thickness Remap Max	parameter	context-ui-label	contains-common-prose-word	-
Line Thickness Remap Min	Line Thickness Remap Min	parameter	context-ui-label	contains-common-prose-word	-
Line Thickness Remap Switch	Line Thickness Remap Switch	parameter	context-ui-label	contains-common-prose-word	-
Line Type	Line Type	parameter	context-ui-label	contains-common-prose-word	-
Lines Inside Alpha	Lines Inside Alpha	parameter	context-ui-label	contains-common-prose-word	-
Long Color	Long Color	parameter	context-ui-label	contains-common-prose-word	-
Luminance Mode	Luminance Mode	parameter	context-ui-label	contains-common-prose-word	-
Map Gamma	Map Gamma	parameter	context-ui-label	contains-common-prose-word	-
Map Saturation	Map Saturation	parameter	context-ui-label	contains-common-prose-word	-
Mask Texture	Mask Texture	parameter	context-ui-label	contains-common-prose-word	-
Mask Value	Mask Value	parameter	context-ui-label	contains-common-prose-word	-
Match C++ patterns	Match C++ patterns	parameter	context-ui-label	contains-common-prose-word	-
Match C++ patterns	Match C++ patterns	parameter	context-ui-label	contains-common-prose-word	-
Material Back	Material Back	parameter	context-ui-label	contains-common-prose-word	-
Material Base	Material Base	parameter	context-ui-label	contains-common-prose-word	-
Material Front	Material Front	parameter	context-ui-label	contains-common-prose-word	-
Material Sides	Material Sides	parameter	context-ui-label	contains-common-prose-word	-
Material Top	Material Top	parameter	context-ui-label	contains-common-prose-word	-
Max Path Length	Max Path Length	parameter	context-ui-label	contains-common-prose-word	-
Max Path Length	Max Path Length	parameter	context-ui-label	contains-common-prose-word	-
Mean Free Path	Mean Free Path	parameter	context-ui-label	contains-common-prose-word	-
Mean Free Path Color	Mean Free Path Color	parameter	context-ui-label	contains-common-prose-word	-
Mean Free Path Distance	Mean Free Path Distance	parameter	context-ui-label	contains-common-prose-word	-
Missing Color	Missing Color	parameter	context-ui-label	contains-common-prose-word	-
Missing Color	Missing Color	parameter	context-ui-label	contains-common-prose-word	-
model displacement	model displacement	parameter	context-ui-label	mostly-lowercase-phrase	-
Monochrome Output	Monochrome Output	parameter	context-ui-label	contains-common-prose-word	-
Num Samples	Num Samples	parameter	context-ui-label	contains-common-prose-word	-
Number Of Textures	Number Of Textures	parameter	context-ui-label	contains-common-prose-word	-
Number of Textures	Number of Textures	parameter	context-ui-label	contains-common-prose-word	-
Occluded and Unoccluded	Occluded and Unoccluded	parameter	context-ui-label	contains-common-prose-word	-
On Volume Boundaries	On Volume Boundaries	parameter	context-ui-label	contains-common-prose-word	-
Output Channels Idx	Output Channels Idx	parameter	context-ui-label	contains-common-prose-word	-
Output Folder	Output Folder	parameter	context-ui-label	contains-common-prose-word	-
Output Gain	Output Gain	parameter	context-ui-label	contains-common-prose-word	-
Output Max	Output Max	parameter	context-ui-label	contains-common-prose-word	-
Output Min	Output Min	parameter	context-ui-label	contains-common-prose-word	-
Output Type	Output Type	parameter	context-ui-label	contains-common-prose-word	-
Overlapping Volumes	Overlapping Volumes	parameter	context-ui-label	contains-common-prose-word	-
Override Signal by Camera Range	Override Signal by Camera Range	parameter	context-ui-label	contains-common-prose-word	-
Presence Parameter	Presence Parameter	parameter	context-ui-label	contains-common-prose-word	-
Primary Color	Primary Color	parameter	context-ui-label	contains-common-prose-word	-
Primary Specular Color	Primary Specular Color	parameter	context-ui-label	contains-common-prose-word	-
R Specular Color	R Specular Color	parameter	context-ui-label	contains-common-prose-word	-
Ramp Colors	Ramp Colors	parameter	context-ui-label	contains-common-prose-word	-
Ramp Type	Ramp Type	parameter	context-ui-label	contains-common-prose-word	-
Random Type	Random Type	parameter	context-ui-label	contains-common-prose-word	-
Refraction Color	Refraction Color	parameter	context-ui-label	contains-common-prose-word	-
Remap TT Color	Remap TT Color	parameter	context-ui-label	contains-common-prose-word	-
Remapping Mode	Remapping Mode	parameter	context-ui-label	contains-common-prose-word	-
Render Mode	Render Mode	parameter	context-ui-label	contains-common-prose-word	-
Resolution X and Resolution Y	Resolution X and Resolution Y	parameter	context-ui-label	contains-common-prose-word	-
Sample Distribution	Sample Distribution	parameter	context-ui-label	contains-common-prose-word	-
Saturation Mode	Saturation Mode	parameter	context-ui-label	contains-common-prose-word	-
Scatter Color	Scatter Color	parameter	context-ui-label	contains-common-prose-word	-
Secondary Color	Secondary Color	parameter	context-ui-label	contains-common-prose-word	-
Secondary Specular Color	Secondary Specular Color	parameter	context-ui-label	contains-common-prose-word	-
Sections Map	Sections Map	parameter	context-ui-label	contains-common-prose-word	-
Sections Map Black Mask Switch	Sections Map Black Mask Switch	parameter	context-ui-label	contains-common-prose-word	-
Sections Map Switch	Sections Map Switch	parameter	context-ui-label	contains-common-prose-word	-
Shadow Bump Terminator	Shadow Bump Terminator	parameter	context-ui-label	contains-common-prose-word	-
Shadow Color	Shadow Color	parameter	context-ui-label	contains-common-prose-word	-
Shadow Color	Shadow Color	parameter	context-ui-label	contains-common-prose-word	-
Shadow Distance	Shadow Distance	parameter	context-ui-label	contains-common-prose-word	-
Shadow Falloff	Shadow Falloff	parameter	context-ui-label	contains-common-prose-word	-
Shadow Falloff Gamma	Shadow Falloff Gamma	parameter	context-ui-label	contains-common-prose-word	-
Shadow Max Distance	Shadow Max Distance	parameter	context-ui-label	contains-common-prose-word	-
Shadow Mode	Shadow Mode	parameter	context-ui-label	contains-common-prose-word	-
Shadows Range Max	Shadows Range Max	parameter	context-ui-label	contains-common-prose-word	-
Shadows Range Min	Shadows Range Min	parameter	context-ui-label	contains-common-prose-word	-
Shaping Mode	Shaping Mode	parameter	context-ui-label	contains-common-prose-word	-
Short Color	Short Color	parameter	context-ui-label	contains-common-prose-word	-
Signal AOV String	Signal AOV String	parameter	context-ui-label	contains-common-prose-word	-
Specular Curvature Filter	Specular Curvature Filter	parameter	context-ui-label	contains-common-prose-word	-
Specular Fresnel Mode	Specular Fresnel Mode	parameter	context-ui-label	contains-common-prose-word	-
Spline Map	Spline Map	parameter	context-ui-label	contains-common-prose-word	-
Spline Type	Spline Type	parameter	context-ui-label	contains-common-prose-word	-
Step Mode	Step Mode	parameter	context-ui-label	contains-common-prose-word	-
Step to Albedo	Step to Albedo	parameter	context-ui-label	contains-common-prose-word	-
Stray Color	Stray Color	parameter	context-ui-label	contains-common-prose-word	-
Stray Hair Color	Stray Hair Color	parameter	context-ui-label	contains-common-prose-word	-
Stray Random Color	Stray Random Color	parameter	context-ui-label	contains-common-prose-word	-
Subsurface Color	Subsurface Color	parameter	context-ui-label	contains-common-prose-word	-
Surface Gradient	Surface Gradient	parameter	context-ui-label	contains-common-prose-word	-
Surface Mix	Surface Mix	parameter	context-ui-label	contains-common-prose-word	-
Surface Mollification	Surface Mollification	parameter	context-ui-label	contains-common-prose-word	-
Surface Normal Mix	Surface Normal Mix	parameter	context-ui-label	contains-common-prose-word	-
Surface Position	Surface Position	parameter	context-ui-label	contains-common-prose-word	-
Surface Position	Surface Position	parameter	context-ui-label	contains-common-prose-word	-
Surface Tension	Surface Tension	parameter	context-ui-label	contains-common-prose-word	-
Texture Color	Texture Color	parameter	context-ui-label	contains-common-prose-word	-
Texture Frequency	Texture Frequency	parameter	context-ui-label	contains-common-prose-word	-
Texture Order	Texture Order	parameter	context-ui-label	contains-common-prose-word	-
Texture Overlay	Texture Overlay	parameter	context-ui-label	contains-common-prose-word	-
Texture Roughness	Texture Roughness	parameter	context-ui-label	contains-common-prose-word	-
Texture Set	Texture Set	parameter	context-ui-label	contains-common-prose-word	-
Texture Type	Texture Type	parameter	context-ui-label	contains-common-prose-word	-
Textures are Normal Maps	Textures are Normal Maps	parameter	context-ui-label	contains-common-prose-word	-
Thin Shadow	Thin Shadow	parameter	context-ui-label	contains-common-prose-word	-
Thin Surface	Thin Surface	parameter	context-ui-label	contains-common-prose-word	-
Tile Mode	Tile Mode	parameter	context-ui-label	contains-common-prose-word	-
Tiling Mode	Tiling Mode	parameter	context-ui-label	contains-common-prose-word	-
Toon Mode	Toon Mode	parameter	context-ui-label	contains-common-prose-word	-
Top Color	Top Color	parameter	context-ui-label	contains-common-prose-word	-
Transmission Color	Transmission Color	parameter	context-ui-label	contains-common-prose-word	-
Transmit Color	Transmit Color	parameter	context-ui-label	contains-common-prose-word	-
Transmit Specular Color	Transmit Specular Color	parameter	context-ui-label	contains-common-prose-word	-
Triplanar N String	Triplanar N String	parameter	context-ui-label	contains-common-prose-word	-
Triplanar P String	Triplanar P String	parameter	context-ui-label	contains-common-prose-word	-
TT Specular Color	TT Specular Color	parameter	context-ui-label	contains-common-prose-word	-
Use Alpha	Use Alpha	parameter	context-ui-label	contains-common-prose-word	-
Use Alpha	Use Alpha	parameter	context-ui-label	contains-common-prose-word	-
Use Color	Use Color	parameter	context-ui-label	contains-common-prose-word	-
Use Diffuse Color	Use Diffuse Color	parameter	context-ui-label	contains-common-prose-word	-
Use Displacement Direction	Use Displacement Direction	parameter	context-ui-label	contains-common-prose-word	-
Use Light Direction	Use Light Direction	parameter	context-ui-label	contains-common-prose-word	-
Use Throughput	Use Throughput	parameter	context-ui-label	contains-common-prose-word	-
Use Undisplaced Position	Use Undisplaced Position	parameter	context-ui-label	contains-common-prose-word	-
User Color	User Color	parameter	context-ui-label	contains-common-prose-word	-
Utility Pattern	Utility Pattern	parameter	context-ui-label	contains-common-prose-word	-
Variable name	Variable name	parameter	context-ui-label	mostly-lowercase-phrase	-
Variable Type	Variable Type	parameter	context-ui-label	contains-common-prose-word	-
Visible in Refraction	Visible in Refraction	parameter	context-ui-label	contains-common-prose-word	-
Volume Aggregate Name	Volume Aggregate Name	parameter	context-ui-label	contains-common-prose-word	-
Wireframe Color	Wireframe Color	parameter	context-ui-label	contains-common-prose-word	-
Write File	Write File	parameter	context-ui-label	contains-common-prose-word	-
Write To Type AOV	Write To Type AOV	parameter	context-ui-label	contains-common-prose-word	-
Z Depth Mode	Z Depth Mode	parameter	context-ui-label	contains-common-prose-word	-
Advanced Parameters	Advanced Parameters	section	context-ui-label	contains-common-prose-word	-
Anisotropy Parameters	Anisotropy Parameters	section	context-ui-label	contains-common-prose-word	-
Burley Mode Parameter	Burley Mode Parameter	section	context-ui-label	contains-common-prose-word	-
Clear Coat Parameters	Clear Coat Parameters	section	context-ui-label	contains-common-prose-word	-
Color Parameters	Color Parameters	section	context-ui-label	contains-common-prose-word	-
Common Parameters	Common Parameters	section	context-ui-label	contains-common-prose-word	-
Dielectric Parameters	Dielectric Parameters	section	context-ui-label	contains-common-prose-word	-
Diffuse Parameters	Diffuse Parameters	section	context-ui-label	contains-common-prose-word	-
Dispersion Parameters	Dispersion Parameters	section	context-ui-label	contains-common-prose-word	-
Emission Parameters	Emission Parameters	section	context-ui-label	contains-common-prose-word	-
Fuzz Parameters	Fuzz Parameters	section	context-ui-label	contains-common-prose-word	-
Fuzz Parameters	Fuzz Parameters	section	context-ui-label	contains-common-prose-word	-
Glass Parameters	Glass Parameters	section	context-ui-label	contains-common-prose-word	-
Global Properties Parameters	Global Properties Parameters	section	context-ui-label	contains-common-prose-word	-
Glow Parameters	Glow Parameters	section	context-ui-label	contains-common-prose-word	-
Interior Parameters	Interior Parameters	section	context-ui-label	contains-common-prose-word	-
Iridescence Parameters	Iridescence Parameters	section	context-ui-label	contains-common-prose-word	-
Layering Modes	Layering Modes	section	context-ui-label	contains-common-prose-word	-
Material Properties	Material Properties	section	context-ui-label	contains-common-prose-word	-
Multiple Mean Free Paths Description	Multiple Mean Free Paths Description	section	context-ui-label	contains-common-prose-word	-
Other parameters	Other parameters	section	context-ui-label	mostly-lowercase-phrase;contains-common-prose-word	-
Path-traced Modes Parameters	Path-traced Modes Parameters	section	context-ui-label	contains-common-prose-word	-
Properties Parameters	Properties Parameters	section	context-ui-label	contains-common-prose-word	-
Scattering Parameters	Scattering Parameters	section	context-ui-label	contains-common-prose-word	-
Shadow Parameters	Shadow Parameters	section	context-ui-label	contains-common-prose-word	-
Sheen Parameters	Sheen Parameters	section	context-ui-label	contains-common-prose-word	-
Single Scatter Parameters	Single Scatter Parameters	section	context-ui-label	contains-common-prose-word	-
Single Scattering Parameters	Single Scattering Parameters	section	context-ui-label	contains-common-prose-word	-
Specular and Rough Specular Parameters	Specular and Rough Specular Parameters	section	context-ui-label	contains-common-prose-word	-
Specular Parameters	Specular Parameters	section	context-ui-label	contains-common-prose-word	-
Subsurface Scattering Parameters	Subsurface Scattering Parameters	section	context-ui-label	contains-common-prose-word	-
Tail Parameters	Tail Parameters	section	context-ui-label	contains-common-prose-word	-
Translucency Parameters	Translucency Parameters	section	context-ui-label	contains-common-prose-word	-
Tricolor Parameters	Tricolor Parameters	section	context-ui-label	contains-common-prose-word	-
Adjust Output	Adjust Output	section-title	context-ui-label	contains-common-prose-word	-
Adjust Output	Adjust Output	section-title	context-ui-label	contains-common-prose-word	-
Advanced Settings	Advanced Settings	section-title	context-ui-label	contains-common-prose-word	-
Advanced Texture Settings	Advanced Texture Settings	section-title	context-ui-label	contains-common-prose-word	-
Advanced Workflows	Advanced Workflows	section-title	context-ui-label	contains-common-prose-word	-
Analytic Light Types	Analytic Light Types	section-title	context-ui-label	contains-common-prose-word	-
Anisotropy Parameters	Anisotropy Parameters	section-title	context-ui-label	contains-common-prose-word	-
Barn Door Light Filter	Barn Door Light Filter	section-title	context-ui-label	contains-common-prose-word	-
Base Layer	Base Layer	section-title	context-ui-label	contains-common-prose-word	-
Basic Workflows	Basic Workflows	section-title	context-ui-label	contains-common-prose-word	-
Bump Output	Bump Output	section-title	context-ui-label	contains-common-prose-word	-
Camera Range Page	Camera Range Page	section-title	context-ui-label	contains-common-prose-word	-
Color Correct	Color Correct	section-title	context-ui-label	contains-common-prose-word	-
Cookie Light Filter	Cookie Light Filter	section-title	context-ui-label	contains-common-prose-word	-
Density Parameters	Density Parameters	section-title	context-ui-label	contains-common-prose-word	-
Diffuse Parameters	Diffuse Parameters	section-title	context-ui-label	contains-common-prose-word	-
Displacement Types	Displacement Types	section-title	context-ui-label	contains-common-prose-word	-
Geometric Light Types	Geometric Light Types	section-title	context-ui-label	contains-common-prose-word	-
Guidance for Writing Your Own Patterns	Guidance for Writing Your Own Patterns	section-title	context-ui-label	contains-common-prose-word	-
Hair and Fur Presets	Hair and Fur Presets	section-title	context-ui-label	contains-common-prose-word	-
Hatching Color Page	Hatching Color Page	section-title	context-ui-label	contains-common-prose-word	-
Hatching Textures Page	Hatching Textures Page	section-title	context-ui-label	contains-common-prose-word	-
Input Parameters	Input Parameters	section-title	context-ui-label	contains-common-prose-word	-
Input Parameters	Input Parameters	section-title	context-ui-label	contains-common-prose-word	-
Intensity Light Filter	Intensity Light Filter	section-title	context-ui-label	contains-common-prose-word	-
Light Profile	Light Profile	section-title	context-ui-label	contains-common-prose-word	-
Line Color Page	Line Color Page	section-title	context-ui-label	contains-common-prose-word	-
Line Detection Page	Line Detection Page	section-title	context-ui-label	contains-common-prose-word	-
Line Distort Page	Line Distort Page	section-title	context-ui-label	contains-common-prose-word	-
Line Thickness Page	Line Thickness Page	section-title	context-ui-label	contains-common-prose-word	-
Line Thickness Remap Page	Line Thickness Remap Page	section-title	context-ui-label	contains-common-prose-word	-
Lines Page	Lines Page	section-title	context-ui-label	contains-common-prose-word	-
Normal Maps Orientation	Normal Maps Orientation	section-title	context-ui-label	contains-common-prose-word	-
Object Visibility	Object Visibility	section-title	context-ui-label	contains-common-prose-word	-
Output Page	Output Page	section-title	context-ui-label	contains-common-prose-word	-
Output Parameters	Output Parameters	section-title	context-ui-label	contains-common-prose-word	-
Output Parameters	Output Parameters	section-title	context-ui-label	contains-common-prose-word	-
Output Range	Output Range	section-title	context-ui-label	contains-common-prose-word	-
Pattern Settings	Pattern Settings	section-title	context-ui-label	contains-common-prose-word	-
Portal Lights	Portal Lights	section-title	context-ui-label	contains-common-prose-word	-
